
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
72,1997,8,1997-10-19,26-242,DET,,NYG,L 20-26,0,0,,0,0,0,0,,0,3,82,27.33,0,2,11,5.50,0,0,0
73,1997,9,1997-11-02,26-256,DET,@,GNB,L 10-20,0,0,,0,1,0,0,,0,5,120,24.00,0,4,16,4.00,0,0,0
74,1997,10,1997-11-09,26-263,DET,@,WAS,L 7-30,0,0,,0,1,1,4,4.00,0,5,131,26.20,0,4,69,17.25,0,0,0
75,1997,11,1997-11-16,26-270,DET,,MIN,W 38-15,0,0,,0,0,0,0,,0,2,26,13.00,0,2,12,6.00,0,0,0
76,1997,12,1997-11-23,26-277,DET,,IND,W 32-10,0,0,,0,0,0,0,,0,2,29,14.50,0,5,25,5.00,0,0,0
77,1997,13,1997-11-27,26-281,DET,,CHI,W 55-20,0,0,,0,0,0,0,,0,5,189,37.80,0,4,57,14.25,0,0,0
78,1997,14,1997-12-07,26-291,DET,@,MIA,L 30-33,0,0,,0,0,0,0,,0,6,97,16.17,0,3,26,8.67,0,0,0
79,1997,15,1997-12-14,26-298,DET,@,MIN,W 14-13,0,0,,0,0,0,0,,0,3,82,27.33,0,4,52,13.00,0,0,0
80,1997,16,1997-12-21,26-305,DET,,NYJ,W 13-10,0,0,,0,0,0,0,,0,1,26,26.00,0,3,27,9.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
81,1998,1,1998-09-06,27-199,CHI,,JAX,L 23-24,0,0,,0,0,0,0,,0,5,197,39.40,1,1,4,4.00,0,1,6
82,1998,2,1998-09-13,27-206,CHI,@,PIT,L 12-17,0,0,,0,1,0,0,,0,4,71,17.75,0,5,50,10.00,0,0,0
83,1998,3,1998-09-20,27-213,CHI,@,TAM,L 15-27,0,0,,0,0,0,0,,0,6,110,18.33,0,2,106,53.00,1,1,6
84,1998,4,1998-09-27,27-220,CHI,,MIN,L 28-31,0,0,,0,0,0,0,,0,3,75,25.00,0,1,15,15.00,0,0,0
85,1998,5,1998-10-04,27-227,CHI,,DET,W 31-27,1,3,3.00,0,1,0,0,,0,5,118,23.60,0,4,40,10.00,0,0,0
86,1998,6,1998-10-11,27-234,CHI,@,ARI,L 7-20,0,0,,0,0,0,0,,0,4,67,16.75,0,1,4,4.00,0,0,0
87,1998,7,1998-10-18,27-241,CHI,,DAL,W 13-12,0,0,,0,2,2,18,9.00,0,3,69,23.00,0,0,0,,0,0,0
88,1998,8,1998-10-25,27-248,CHI,@,TEN,W 23-20,0,0,,0,0,0,0,,0,2,77,38.50,0,1,10,10.00,0,0,0
89,1998,9,1998-11-08,27-262,CHI,,STL,L 12-20,0,0,,0,0,0,0,,0,6,106,17.67,0,1,2,2.00,0,0,0
90,1998,10,1998-11-15,27-269,CHI,@,DET,L 3-26,0,0,,0,0,0,0,,0,3,58,19.33,0,0,0,,0,0,0
91,1998,11,1998-11-22,27-276,CHI,@,ATL,L 13-20,1,2,2.00,0,0,0,0,,0,2,74,37.00,0,0,0,,0,0,0
92,1998,12,1998-11-29,27-283,CHI,,TAM,L 17-31,0,0,,0,0,0,0,,0,4,79,19.75,0,2,17,8.50,0,0,0
93,1998,13,1998-12-06,27-290,CHI,@,MIN,L 22-48,0,0,,0,0,0,0,,0,4,109,27.25,0,1,8,8.00,0,0,0
94,1998,14,1998-12-13,27-297,CHI,@,GNB,L 20-26,0,0,,0,0,0,0,,0,6,202,33.67,1,3,10,3.33,0,1,6
95,1998,15,1998-12-20,27-304,CHI,,BAL,W 24-3,2,3,1.50,0,2,2,19,9.50,0,2,57,28.50,0,2,7,3.50,0,0,0
96,1998,16,1998-12-27,27-311,CHI,,GNB,L 13-16,0,0,,0,0,0,0,,0,3,81,27.00,0,1,18,18.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
97,1999,1,1999-09-12,28-205,CHI,,KAN,W 20-17,2,11,5.50,0,3,1,8,8.00,0,4,92,23.00,0,0,0,,0,0,0
98,1999,2,1999-09-19,28-212,CHI,,SEA,L 13-14,2,20,10.00,0,4,2,18,9.00,0,2,66,33.00,0,2,54,27.00,0,0,0
99,1999,3,1999-09-26,28-219,CHI,@,OAK,L 17-24,0,0,,0,2,2,9,4.50,0,4,157,39.25,0,0,0,,0,0,0
100,1999,4,1999-10-03,28-226,CHI,,NOR,W 14-10,0,0,,0,0,0,0,,0,2,36,18.00,0,3,18,6.00,0,0,0
101,1999,5,1999-10-10,28-233,CHI,@,MIN,W 24-22,1,-4,-4.00,0,3,2,15,7.50,0,3,63,21.00,0,2,7,3.50,0,0,0
102,1999,6,1999-10-17,28-240,CHI,,PHI,L 16-20,1,4,4.00,0,0,0,0,,0,5,121,24.20,0,2,13,6.50,0,0,0
103,1999,7,1999-10-24,28-247,CHI,@,TAM,L 3-6,0,0,,0,0,0,0,,0,3,80,26.67,0,6,34,5.67,0,0,0
104,1999,8,1999-10-31,28-254,CHI,@,WAS,L 22-48,1,0,0.00,0,7,6,59,9.83,0,7,130,18.57,0,1,39,39.00,0,0,0
105,1999,9,1999-11-07,28-261,CHI,@,GNB,W 14-13,3,54,18.00,1,2,2,1,0.50,0,3,58,19.33,0,2,26,13.00,0,1,6
106,1999,10,1999-11-14,28-268,CHI,,MIN,L 24-27,2,-7,-3.50,0,2,2,6,3.00,0,5,105,21.00,0,2,39,19.50,0,0,0
107,1999,11,1999-11-21,28-275,CHI,@,SDG,W 23-20,1,-4,-4.00,0,0,0,0,,0,5,97,19.40,0,2,44,22.00,0,0,0
108,1999,12,1999-11-25,28-279,CHI,@,DET,L 17-21,1,30,30.00,0,2,1,10,10.00,0,4,96,24.00,0,2,14,7.00,0,0,0
109,1999,13,1999-12-05,28-289,CHI,,GNB,L 19-35,0,0,,0,3,2,25,12.50,0,5,144,28.80,0,0,0,,0,0,0
110,1999,14,1999-12-19,28-303,CHI,,DET,W 28-10,1,-1,-1.00,0,0,0,0,,0,2,33,16.50,0,1,19,19.00,0,0,0
111,1999,15,1999-12-26,28-310,CHI,@,STL,L 12-34,0,0,,0,1,0,0,,0,5,122,24.40,0,1,0,0.00,0,0,0
112,1999,16,2000-01-02,28-317,CHI,,TAM,L 6-20,1,-1,-1.00,0,1,0,0,,0,2,26,13.00,0,4,39,9.75,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
113,2000,1,2000-09-03,29-197,CHI,@,MIN,L 27-30,0,0,,0,0,0,0,,0,7,175,25.00,0,1,12,12.00,0,0,0
114,2000,2,2000-09-10,29-204,CHI,@,TAM,L 0-41,0,0,,0,0,0,0,,0,7,166,23.71,0,3,23,7.67,0,0,0
115,2000,3,2000-09-17,29-211,CHI,,NYG,L 7-14,0,0,,0,0,0,0,,0,3,68,22.67,0,2,20,10.00,0,0,0
116,2000,4,2000-09-24,29-218,CHI,,DET,L 14-21,0,0,,0,0,0,0,,0,3,63,21.00,0,4,30,7.50,0,0,0
117,2000,5,2000-10-01,29-225,CHI,@,GNB,W 27-24,0,0,,0,0,0,0,,0,2,65,32.50,0,0,0,,0,0,0
118,2000,6,2000-10-08,29-232,CHI,,NOR,L 10-31,0,0,,0,1,0,0,,0,6,169,28.17,0,3,33,11.00,0,0,0
119,2000,7,2000-10-15,29-239,CHI,,MIN,L 16-28,0,0,,0,0,0,0,,0,5,92,18.40,0,2,15,7.50,0,0,0
120,2000,8,2000-10-22,29-246,CHI,@,PHI,L 9-13,0,0,,0,0,0,0,,0,4,82,20.50,0,3,0,0.00,0,0,0
121,2000,9,2000-11-05,29-260,CHI,,IND,W 27-24,0,0,,0,0,0,0,,0,2,50,25.00,0,2,18,9.00,0,0,0
122,2000,10,2000-11-12,29-267,CHI,@,BUF,L 3-20,0,0,,0,0,0,0,,0,3,36,12.00,0,2,11,5.50,0,0,0
123,2000,11,2000-11-19,29-274,CHI,,TAM,W 13-10,0,0,,0,0,0,0,,0,3,80,26.67,0,0,0,,0,0,0
124,2000,12,2000-11-26,29-281,CHI,@,NYJ,L 10-17,0,0,,0,0,0,0,,0,3,90,30.00,0,3,45,15.00,0,0,0
125,2000,13,2000-12-03,29-288,CHI,,GNB,L 6-28,1,6,6.00,0,1,0,0,,0,5,103,20.60,0,1,7,7.00,0,0,0
126,2000,14,2000-12-10,29-295,CHI,,NWE,W 24-17,0,0,,0,1,1,8,8.00,0,4,100,25.00,0,4,37,9.25,0,0,0
127,2000,15,2000-12-17,29-302,CHI,@,SFO,L 0-17,0,0,,0,0,0,0,,0,2,42,21.00,0,4,39,9.75,0,0,0
128,2000,16,2000-12-24,29-309,CHI,@,DET,W 23-20,0,0,,0,0,0,0,,0,4,87,21.75,0,1,10,10.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
129,2001,1,2001-09-09,30-202,CHI,@,BAL,L 6-17,2,2,1.00,0,1,0,0,,0,1,29,29.00,0,0,0,,0,0,0
130,2001,2,2001-09-23,30-216,CHI,,MIN,W 17-10,0,0,,0,2,2,4,2.00,0,2,45,22.50,0,1,12,12.00,0,0,0
131,2001,3,2001-10-07,30-230,CHI,@,ATL,W 31-3,0,0,,0,1,1,5,5.00,0,1,37,37.00,0,0,0,,0,0,0
132,2001,4,2001-10-14,30-237,CHI,,ARI,W 20-13,1,1,1.00,0,0,0,0,,0,2,41,20.50,0,3,21,7.00,0,0,0
133,2001,10,2001-11-18,30-272,SDG,@,OAK,L 24-34,0,0,,0,0,0,0,,0,0,0,,0,3,23,7.67,0,0,0
134,2001,11,2001-11-25,30-279,SDG,,ARI,L 17-20,0,0,,0,0,0,0,,0,0,0,,0,3,6,2.00,0,0,0
135,2001,12,2001-12-02,30-286,SDG,@,SEA,L 10-13,0,0,,0,0,0,0,,0,0,0,,0,4,45,11.25,0,0,0
136,2001,14,2001-12-15,30-299,SDG,,OAK,L 6-13,0,0,,0,0,0,0,,0,0,0,,0,2,30,15.00,0,0,0
137,2001,15,2001-12-23,30-307,SDG,@,KAN,L 17-20,0,0,,0,0,0,0,,0,0,0,,0,1,10,10.00,0,0,0
138,2001,16,2001-12-30,30-314,SDG,,SEA,L 22-25,0,0,,0,0,0,0,,0,0,0,,0,4,25,6.25,0,0,0
,,,138 Games,,,,,56-82-0,183,817,4.46,2,246,170,1322,7.78,6,407,9788,24.05,2,304,2984,9.82,1,11,66
