
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
96,2008,11,2008-11-23,28-358,SEA,,WAS,L 17-20,14,103,7.36,0,3,3,10,3.33,1,0,0,,0,0,0,,0,,1,6,0.0,1,0
97,2008,12,2008-11-27,28-362,SEA,@,DAL,L 9-34,6,10,1.67,0,6,3,23,7.67,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
98,2008,13,2008-12-07,29-006,SEA,,NWE,L 21-24,14,39,2.79,0,3,2,19,9.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
99,2008,14,2008-12-14,29-013,SEA,@,STL,W 23-20,15,86,5.73,0,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
100,2008,15,2008-12-21,29-020,SEA,,NYJ,W 13-3,29,116,4.00,0,1,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
101,2008,16,2008-12-28,29-027,SEA,@,ARI,L 21-34,15,45,3.00,0,5,3,26,8.67,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
102,2009,2,2009-09-20,29-293,DET,,MIN,L 13-27,2,15,7.50,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
103,2009,3,2009-09-27,29-300,DET,,WAS,W 19-14,8,10,1.25,1,1,1,12,12.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
104,2009,4,2009-10-04,29-307,DET,@,CHI,L 24-48,1,13,13.00,0,2,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
105,2009,5,2009-10-11,29-314,DET,,PIT,L 20-28,1,5,5.00,0,2,1,16,16.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
106,2009,7,2009-11-01,29-335,DET,,STL,L 10-17,14,63,4.50,0,1,1,19,19.00,0,0,0,,0,0,0,,0,1,0,2,0.0,0,0
107,2009,8,2009-11-08,29-342,DET,@,SEA,L 20-32,4,20,5.00,0,3,2,17,8.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
108,2009,9,2009-11-15,29-349,DET,@,MIN,L 10-27,6,10,1.67,0,5,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
109,2009,10,2009-11-22,29-356,DET,,CLE,W 38-37,2,5,2.50,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
110,2009,11,2009-11-26,29-360,DET,,GNB,L 12-34,1,4,4.00,0,2,2,16,8.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
111,2009,12,2009-12-06,30-005,DET,@,CIN,L 13-23,0,0,,0,1,1,11,11.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
